method,train_set,test_set,scenario,error
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.927596236853641
centroid,POCO#STANDING,POCO#STANDING,auto,1.5037543274234202
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.5037543274234202
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.5037543274234202
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.5037543274234202
centroid,POCO#STANDING,POCO#STANDING,auto,2.2912147111659045
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.2912147111659045
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.2912147111659045
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.2912147111659045
centroid,POCO#STANDING,POCO#STANDING,auto,4.0378419235671945
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,4.0378419235671945
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,4.0378419235671945
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,4.0378419235671945
centroid,POCO#STANDING,POCO#STANDING,auto,1.163498162090456
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.163498162090456
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.163498162090456
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.163498162090456
centroid,POCO#STANDING,POCO#STANDING,auto,1.2981555880024336
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2981555880024336
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2981555880024336
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2981555880024336
centroid,POCO#STANDING,POCO#STANDING,auto,1.3347447856258208
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.3347447856258208
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.3347447856258208
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.3347447856258208
centroid,POCO#STANDING,POCO#STANDING,auto,2.138710393291675
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.138710393291675
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.138710393291675
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.138710393291675
centroid,POCO#STANDING,POCO#STANDING,auto,0.8621729308736805
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.8621729308736805
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.8621729308736805
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.8621729308736805
centroid,POCO#STANDING,POCO#STANDING,auto,2.160684510159201
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.160684510159201
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.160684510159201
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.160684510159201
centroid,POCO#STANDING,POCO#STANDING,auto,2.8385287364877336
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.8385287364877336
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.8385287364877336
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.8385287364877336
centroid,POCO#STANDING,POCO#STANDING,auto,1.2587744805043175
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2587744805043175
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2587744805043175
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2587744805043175
centroid,POCO#STANDING,POCO#STANDING,auto,0.4743274558739417
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.4743274558739417
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.4743274558739417
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.4743274558739417
centroid,POCO#STANDING,POCO#STANDING,auto,2.4678806206499018
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.4678806206499018
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.4678806206499018
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.4678806206499018
centroid,POCO#STANDING,POCO#STANDING,auto,1.263666935516719
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.263666935516719
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.263666935516719
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.263666935516719
centroid,POCO#STANDING,POCO#STANDING,auto,0.4053951285057863
